GroupName,Link,Monthly List
Black Bunny,https://open.spotify.com/artist/389zc5Rwe0MPcE6mSF4AjC,146761
BLACK6IX,https://open.spotify.com/artist/5W5dowztOO3kw9A5zpyjOO,62594
BLACKMAMBA,https://open.spotify.com/artist/1mhpZvUC5GvrA8VLO5xOfm,360
BLACKPINK,https://open.spotify.com/artist/41MozSoPIsD1dJM0CLPjZF,11272637
Blady,https://open.spotify.com/artist/0Qr26enALo3CGKzsj5gxFg,16879
Blah Blah (group),https://open.spotify.com/artist/7fPxGUSLWJ1xt34we7woxd,24
BLANC7,https://open.spotify.com/artist/1vyhD5VmyZ7KMfW5gqLgo5,18783324
BLAST,https://open.spotify.com/artist/5v2WhpA59TJSdPh7LCx1lN,371816
Bling,https://open.spotify.com/artist/13y7CgLHjMVRMDqxdx0Xdo,Loading...
BLK,https://open.spotify.com/artist/1ybINI1qPiFbwDXamRtwxD,340796
Block B,https://open.spotify.com/artist/7scapvSjZLSm0fBgqGM0Mn,86294
Block Chain,https://open.spotify.com/artist/6bMdU0sD5hyWNZru7AZguR,26
Bloomy,https://open.spotify.com/artist/79hrYiudVcFyyxyJW0ipTy,388227
Blue Fox,https://open.spotify.com/artist/4EVpmkEwrLYEg6jIsiPMIb,953960
Bob Girls,https://open.spotify.com/artist/1rAv1GhTQ2rmG94p9lU3rB,318044
BONUSbaby,https://open.spotify.com/artist/4ba2GLtsgJ8ix2089MG0j0,2031
BOYFRIEND (group),https://open.spotify.com/artist/7mFM7ogiSHtvymfm41OaZG,27
Boys Republic,https://open.spotify.com/artist/0iLbcXKdKfMdqllxqSUhPn,Loading...
BOYS24 (group),,#VALUE!
BP POP,https://open.spotify.com/artist/0gcMPgunYh4rX1UOdvZKBn,13027
Brand New Day,https://open.spotify.com/artist/3UBvyQF5Hipou6Pm7wncxr,15707
Brave Girls,https://open.spotify.com/artist/5F47QnV4fjYwl0u5GaSDEx,78285
Brown Eyed Girls,https://open.spotify.com/artist/44NX2ffIYHr6D4n7RaZF7A,1541761
BTL,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,19753363
BTOB,https://open.spotify.com/artist/2hcsKca6hCfFMwwdbFvenJ,914782
BTS,https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX,17589525
BUILD UP,https://open.spotify.com/artist/6jdR01HNfxEjfwZ4zTzu44,103
BULLDOK,https://open.spotify.com/artist/1csBgT42N4pPPs1HJhxXIK,153928
Busters,https://open.spotify.com/artist/0lFDQOEK5OwsyPXb1aWJzY,19844
Buzz,https://open.spotify.com/artist/163tK9Wjr9P9DmM0AVK7lm,5612078
BVNDIT,https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz,8787672
